sl,players_name,matches,most_runs,year,team
4,Shikhar Dhawan,16,521,2019,Delhi Capitals
5,Andre Russell,14,510,2019,Kolkata Knight Riders
6,Chris Gayle,13,490,2019,Kings Xi Punjab
7,Rishabh Pant,16,488,2019,Delhi Capitals
8,Virat Kohli,14,464,2019,Royal Challengers Banglore
9,Shreyas Iyer,16,463,2019,Delhi Capitals
10,Jonny Bairstow,10,445,2019,Sunrises Hyderabad
1,KL Rahul,14,670,2020,Kings Ki Punjab
2,Shikhar Dhawan,17,618,2020,Delhi Capitals
3,David Warner,16,548,2020,Sunrises Hyderabad
4,Shreyas Iyer,17,519,2020,Delhi Capitals
5,Ishan Kishan,14,516,2020,Mumbai Indians
6,Quinton De Kock,16,503,2020,Mumbai Indians
7,Suryakumar Yadav,16,480,2020,Mumbai Indians
8,Devdutt Padikkal,15,473,2020,Royal Challengers Banglore
9,Virat Kohli,15,466,2020,Royal Challengers Banglore
10,AB De Villiers,15,454,2020,Royal Challengers Banglore
